longitude,latitude,east_velocity,north_velocity,up_velocity,east_velocity_std,north_velocity_std,up_velocity_std
-117.89648959179999,34.1260207211,-23.61,22.38,-0.5,0.27999999999999997,0.22,0.54
-117.89648968700001,34.1260207626,-23.61,22.38,-0.5,0.27999999999999997,0.22,0.54
-117.89648967810001,34.126020810199996,-23.61,22.38,-0.5,0.27999999999999997,0.22,0.54
-117.89648967549999,34.1260208067,-23.61,22.38,-0.5,0.27999999999999997,0.22,0.54
-117.20456646779999,40.4127506002,-2.7399999999999998,0.99,0.93,0.11,0.12,0.22
-119.0297390643,33.4804549112,-29.12,33.510000000000005,-0.26,0.16,0.1,0.26
-119.02973915189997,33.4804549209,-29.12,33.510000000000005,-0.26,0.16,0.1,0.26
-119.0297391952,33.4804549277,-29.12,33.510000000000005,-0.26,0.16,0.1,0.26
-119.98151637779998,34.5822013192,-29.35,31.43,0.33,0.53,0.21000000000000002,0.41
-119.98151636930001,34.5822013054,-29.35,31.43,0.33,0.53,0.21000000000000002,0.41
-116.88424302110002,34.264279941,-11.12,14.540000000000001,1.17,0.13,0.16,0.37
-116.88424302749999,34.2642799537,-11.12,14.540000000000001,1.17,0.13,0.16,0.37
-116.8842429972,34.2642803504,-11.12,14.540000000000001,1.17,0.13,0.16,0.37
-116.88424298509997,34.2642802658,-11.12,14.540000000000001,1.17,0.13,0.16,0.37
-119.40585156840001,34.920463882,-21.240000000000002,20.78,0.79,0.18000000000000002,0.16999999999999998,0.8099999999999999
-119.40585158249999,34.9204639017,-21.240000000000002,20.78,0.79,0.18000000000000002,0.16999999999999998,0.8099999999999999
-119.40585158119998,34.9204639166,-21.240000000000002,20.78,0.79,0.18000000000000002,0.16999999999999998,0.8099999999999999
-119.4058515667,34.9204639067,-21.240000000000002,20.78,0.79,0.18000000000000002,0.16999999999999998,0.8099999999999999
-119.40585156169999,34.920463958,-21.240000000000002,20.78,0.79,0.18000000000000002,0.16999999999999998,0.8099999999999999
-116.62112873720002,37.0399315181,-2.65,1.59,-1.04,0.09000000000000001,0.09000000000000001,0.29
-116.62112872900002,37.0399315075,-2.65,1.59,-1.04,0.09000000000000001,0.09000000000000001,0.29
-116.62112873769999,37.0399314589,-2.65,1.59,-1.04,0.09000000000000001,0.09000000000000001,0.29
-116.62112873970003,37.0399314397,-2.65,1.59,-1.04,0.09000000000000001,0.09000000000000001,0.29
-115.99819139509998,34.000534768099996,-5.220000000000001,5.2299999999999995,0.8099999999999999,0.12,0.15,0.5900000000000001
-115.9981913766,34.0005346261,-5.220000000000001,5.2299999999999995,0.8099999999999999,0.12,0.15,0.5900000000000001
-118.07409336740002,35.878389078699996,-8.31,10.47,1.39,0.15,0.15,1.01
-118.0740933998,35.8783891541,-8.31,10.47,1.39,0.16,0.15,1.01
-118.074093395,35.878389134,-8.31,10.47,1.39,0.15,0.15,1.01
-118.15969944,33.9671203794,-26.3,25.869999999999997,-2.66,0.27,0.42000000000000004,0.78
-118.1596994295,33.9671203709,-26.3,25.869999999999997,-2.66,0.27,0.42000000000000004,0.78
-118.15969949459998,33.9671204733,-26.3,25.869999999999997,-2.66,0.27,0.42000000000000004,0.78
-118.15969949790002,33.9671204729,-26.3,25.869999999999997,-2.66,0.27,0.42000000000000004,0.78
-118.15969949929999,33.9671204961,-26.3,25.869999999999997,-2.66,0.27,0.42000000000000004,0.78
-117.0646024911,33.5782452907,-23.07,24.400000000000002,0.35,0.13999999999999999,0.15,0.52
-117.06460240009997,33.5782452135,-23.07,24.400000000000002,0.35,0.13999999999999999,0.15,0.52
-117.0646025909,33.5782453775,-23.07,24.400000000000002,0.35,0.13999999999999999,0.15,0.52
-117.0646025241,33.5782456224,-23.07,24.41,0.35,0.13999999999999999,0.15,0.52
-117.0646025357,33.578245633200005,-23.07,24.400000000000002,0.35,0.13999999999999999,0.15,0.52
-117.06460258659999,33.5782456097,-23.07,24.400000000000002,0.35,0.13999999999999999,0.15,0.52
-117.0646026059,33.5782456023,-23.07,24.41,0.35,0.13999999999999999,0.15,0.52
-116.0804249254,35.2870479646,-3.09,2.21,0.37999999999999995,0.1,0.15,0.45999999999999996
-116.08042494060001,35.287047955700004,-3.09,2.21,0.37999999999999995,0.1,0.15,0.45999999999999996
-116.080425077,35.287047851,-3.09,2.21,0.37999999999999995,0.1,0.15,0.45999999999999996
-116.0804250706,35.287047761,-3.09,2.21,0.37999999999999995,0.1,0.15,0.45999999999999996
-118.09470125849998,33.9622607762,-27.760000000000005,28.97,0.02,0.25,0.48,1.07
-118.09470128070001,33.962260774,-27.760000000000005,28.97,0.02,0.25,0.48,1.07
-118.09470130150001,33.962260921799995,-27.760000000000005,28.97,0.02,0.25,0.48,1.07
-118.09470132529998,33.9622607621,-27.760000000000005,28.97,0.02,0.25,0.48,1.07
-116.0529783629,34.251445666,-3.3299999999999996,4.21,0.33,0.15,0.13,0.32
-116.05297836880001,34.2514455612,-3.3299999999999996,4.21,0.33,0.15,0.13,0.32
-116.98470377979999,33.9626843781,-14.99,18.759999999999998,-0.6900000000000001,0.29,0.22999999999999998,0.43
-116.9847038039,33.9626843735,-14.99,18.759999999999998,-0.6900000000000001,0.29,0.22999999999999998,0.43
-116.98470366570001,33.962684691999996,-14.99,18.759999999999998,-0.6900000000000001,0.29,0.22999999999999998,0.43
-116.9847036823,33.9626846729,-14.99,18.759999999999998,-0.6900000000000001,0.29,0.22999999999999998,0.43
-115.7297053279,33.3646297506,-7.490000000000001,5.6899999999999995,0.6,1.3,2.15,1.7
-115.7297053204,33.3646296284,-7.490000000000001,5.6899999999999995,0.6,1.3,2.15,1.7
-115.7297052856,33.3646296553,-7.490000000000001,5.6899999999999995,0.6,1.3,2.15,1.7
-115.72970538999999,33.364629483899996,-7.490000000000001,5.6899999999999995,0.6,1.3,2.15,1.7
-115.7297052939,33.3646296104,-7.490000000000001,5.6899999999999995,0.6,1.3,2.15,1.7
-118.2770526411,34.1848968651,-24.61,24.53,-0.02,0.29,0.12,0.48
-118.2770527273,34.184896882800004,-24.61,24.53,-0.02,0.29,0.12,0.48
-118.2770527557,34.1848968917,-24.61,24.53,-0.02,0.29,0.12,0.48
-118.2770527891,34.1848968962,-24.61,24.53,-0.02,0.29,0.12,0.48
-118.27705280410001,34.1848969264,-24.61,24.53,-0.02,0.29,0.12,0.48
-118.57680890500001,34.682285198,-18.48,20.330000000000002,1.33,0.18000000000000002,0.12,0.62
-118.57680892740001,34.6822852046,-18.48,20.319999999999997,1.33,0.18000000000000002,0.12,0.62
-118.57680891939998,34.6822852062,-18.48,20.330000000000002,1.33,0.18000000000000002,0.12,0.62
-117.0119934096,34.918613138400005,-7.5200000000000005,10.120000000000001,-0.27,0.1,0.09000000000000001,0.25
-117.0119933958,34.9186131316,-7.5200000000000005,10.120000000000001,-0.27,0.1,0.09000000000000001,0.25
-117.01199396180002,34.9186132736,-7.509999999999999,10.11,-0.27,0.1,0.09000000000000001,0.25
-117.01199399849997,34.9186133271,-7.5200000000000005,10.120000000000001,-0.27,0.1,0.09000000000000001,0.25
-117.0119939661,34.918613289899994,-7.5200000000000005,10.120000000000001,-0.27,0.1,0.09000000000000001,0.25
-118.18822876409999,34.2928081654,-22.97,22.59,0.43,0.18000000000000002,0.18000000000000002,0.5900000000000001
-118.18822881630001,34.2928081684,-22.97,22.59,0.43,0.18000000000000002,0.18000000000000002,0.5900000000000001
-116.87170114669999,36.9176430049,-2.91,1.96,-0.62,0.1,0.11,0.3
-116.87170113029998,36.917643002800006,-2.91,1.96,-0.62,0.1,0.11,0.3
-116.87170113069999,36.9176429614,-2.91,1.96,-0.62,0.1,0.11,0.29
-116.87170112830003,36.9176429435,-2.91,1.96,-0.62,0.1,0.11,0.3
-117.84352974580003,42.779501658600005,-1.4400000000000002,1.26,-0.7599999999999999,0.12,0.12,0.47000000000000003
-117.8435297309,42.7795016739,-1.4400000000000002,1.26,-0.7599999999999999,0.13,0.12,0.47000000000000003
-117.8435297204,42.7795016704,-1.4400000000000002,1.26,-0.7599999999999999,0.12,0.12,0.47000000000000003
-119.34750852009998,35.157277796399995,-16.35,15.36,1.8899999999999997,0.24,0.2,1.1900000000000002
-119.3475085675,35.1572777825,-16.35,15.36,1.8899999999999997,0.24,0.2,1.1900000000000002
-124.5633449046,42.836100312199996,6.57,13.77,1.15,0.06999999999999999,0.06999999999999999,0.2
-124.56334491549998,42.8361003025,6.57,13.77,1.15,0.06999999999999999,0.06999999999999999,0.2
-124.56334492209999,42.8361002755,6.57,13.77,1.15,0.06999999999999999,0.06999999999999999,0.2
-124.5633449396,42.8361002744,6.57,13.77,1.15,0.06999999999999999,0.06999999999999999,0.2
-124.56334496029999,42.8361002454,6.57,13.77,1.15,0.06999999999999999,0.06999999999999999,0.2
-124.56334497980001,42.8361002729,6.57,13.77,1.15,0.06999999999999999,0.06999999999999999,0.2
-115.98995000389999,33.6551362627,-9.2,8.620000000000001,0.03,0.13,0.13999999999999999,0.41
-115.98994997990002,33.6551360937,-9.2,8.620000000000001,0.03,0.13,0.13999999999999999,0.41
-115.9899499393,33.6551360832,-9.2,8.620000000000001,0.03,0.13,0.13999999999999999,0.41
-115.9899499435,33.6551361011,-9.2,8.620000000000001,0.03,0.13,0.13999999999999999,0.41
-115.989949937,33.655136077399995,-9.2,8.620000000000001,0.03,0.13,0.13999999999999999,0.41
-115.98994993470001,33.6551360913,-9.2,8.620000000000001,0.03,0.13,0.13999999999999999,0.41
-115.9899499309,33.655136139899994,-9.2,8.620000000000001,0.03,0.13,0.13999999999999999,0.41
-120.4336985407,35.9393549458,-12.55,19.180000000000003,2.7600000000000002,0.22999999999999998,0.21000000000000002,0.67
-120.4336984842,35.9393549607,-12.55,19.180000000000003,2.7600000000000002,0.22999999999999998,0.21000000000000002,0.67
-120.43369856430002,35.939354855,-12.55,19.180000000000003,2.7600000000000002,0.22999999999999998,0.21000000000000002,0.67
-120.43369761970001,35.9393538522,-12.55,19.180000000000003,2.7600000000000002,0.22999999999999998,0.21000000000000002,0.67
-120.43369766660001,35.9393538739,-12.55,19.180000000000003,2.7600000000000002,0.22999999999999998,0.21000000000000002,0.67
-120.4308231105,35.8883864355,-21.14,26.4,0.8300000000000001,0.18999999999999997,0.32,0.47000000000000003
-120.430823253,35.8883863736,-21.14,26.4,0.8300000000000001,0.18999999999999997,0.32,0.47000000000000003
-120.4308239595,35.8883870988,-21.14,26.4,0.8300000000000001,0.18999999999999997,0.32,0.47000000000000003
-120.4308238978,35.888387090900004,-21.14,26.4,0.8300000000000001,0.18999999999999997,0.32,0.47000000000000003
-117.4039839221,33.4553521624,-24.96,27.650000000000002,-0.15,0.24,0.21000000000000002,0.6799999999999999
-118.48301084330001,33.4457752461,-28.22,32.11,-0.44,0.15,0.13999999999999999,0.36000000000000004
-118.48301082980001,33.4457752459,-28.22,32.11,-0.44,0.15,0.13999999999999999,0.36000000000000004
-118.4830108136,33.4457752709,-28.22,32.11,-0.44,0.15,0.13999999999999999,0.36000000000000004
-118.33381877400001,33.3116195777,-28.24,31.850000000000005,-0.43,0.1,0.06999999999999999,0.27
-118.33381886180001,33.3116195898,-28.24,31.850000000000005,-0.43,0.1,0.06999999999999999,0.27
-118.48300838189999,33.4457643975,-28.360000000000003,32.06,0.35,0.22,0.13,0.42000000000000004
-118.4830084516,33.4457644038,-28.360000000000003,32.06,0.35,0.22,0.13,0.42000000000000004
-118.48300849910001,33.4457644108,-28.360000000000003,32.06,0.35,0.22,0.13,0.42000000000000004
-118.62980799029998,34.1385639284,-26.47,28.68,0.44,0.11,0.12,0.33999999999999997
-118.6298079728,34.1385639417,-26.47,28.68,0.44,0.11,0.12,0.33999999999999997
-118.62980801939997,34.1385639671,-26.47,28.68,0.44,0.11,0.12,0.33999999999999997
-118.62980805000001,34.1385639606,-26.47,28.68,0.44,0.11,0.12,0.33999999999999997
-117.6711730655,35.5653134056,-7.790000000000001,10.64,0.18999999999999997,0.16,0.15,0.96
-117.67117306450001,35.5653134136,-7.790000000000001,10.64,0.18999999999999997,0.16,0.15,0.96
-117.67117305549999,35.5653133835,-7.790000000000001,10.64,0.18999999999999997,0.16,0.15,0.96
-118.21119959889998,33.876262541500004,-22.82,28.919999999999998,-3.92,0.5099999999999999,0.15,0.9199999999999999
-118.211199574,33.8762625505,-22.82,28.919999999999998,-3.92,0.5099999999999999,0.15,0.9199999999999999
-118.21119981580003,33.8762625892,-22.82,28.919999999999998,-3.92,0.5099999999999999,0.15,0.9199999999999999
-118.21119980470002,33.8762625883,-22.82,28.919999999999998,-3.92,0.5099999999999999,0.15,0.9199999999999999
-118.21120000599998,33.8762625624,-22.82,28.919999999999998,-3.92,0.5099999999999999,0.15,0.9199999999999999
-118.21119998939997,33.8762625428,-22.82,28.919999999999998,-3.92,0.5099999999999999,0.15,0.9199999999999999
-119.01346878939998,34.8063645658,-21.159999999999997,19.68,2.68,0.21000000000000002,0.26,0.71
-119.01346880830002,34.8063645338,-21.159999999999997,19.68,2.68,0.21000000000000002,0.26,0.71
-116.33593185950002,34.8294679862,-4.75,3.7700000000000005,0.13,0.12,0.13,0.53
-116.33593184970002,34.8294679834,-4.75,3.7700000000000005,0.13,0.12,0.13,0.53
-116.3359318361,34.829467904299996,-4.75,3.7700000000000005,0.13,0.12,0.13,0.53
-117.9649480159,34.2439948746,-22.869999999999997,22.06,0.62,0.21000000000000002,0.21000000000000002,0.39
-117.96494801930001,34.2439948452,-22.869999999999997,22.06,0.62,0.21000000000000002,0.21000000000000002,0.39
-122.11931222200002,37.7241178502,-15.319999999999999,19.52,0.11,0.13,0.15,0.32
-122.11931216830001,37.7241177919,-15.319999999999999,19.52,0.11,0.13,0.15,0.32
-122.11931225759997,37.7241178227,-15.319999999999999,19.52,0.11,0.13,0.15,0.32
-118.02600143450002,34.3334248647,-22.14,21.65,-0.32,0.16999999999999998,0.1,0.36000000000000004
-118.0260015147,34.3334248923,-22.14,21.65,-0.32,0.16999999999999998,0.1,0.36000000000000004
-118.02600150709998,34.3334248833,-22.14,21.65,-0.32,0.16999999999999998,0.1,0.36000000000000004
-118.02600149470001,34.3334248915,-22.14,21.65,-0.32,0.16999999999999998,0.1,0.36000000000000004
-116.76552645769999,36.7465024929,-2.77,1.92,-0.62,0.1,0.11,0.29
-116.7655264432,36.746502503,-2.77,1.92,-0.62,0.1,0.11,0.29
-116.7655264482,36.7465024559,-2.77,1.92,-0.62,0.1,0.11,0.29
-116.76552644520001,36.7465024328,-2.77,1.92,-0.62,0.1,0.11,0.29
-117.82770243049998,34.640463565,-11.28,14.7,3.31,0.29,0.22999999999999998,1.1199999999999999
-117.8277027307,34.6404637178,-11.28,14.7,3.31,0.29,0.22999999999999998,1.1199999999999999
